All New Jersey ZIP Codes,,,,
Rank,ZIP Code,County,State,Overall Score
94,07746,Monmouth,New Jersey,59.9
95,07940,Morris,New Jersey,59.9
96,08012,Camden,New Jersey,59.8
97,08844,Somerset,New Jersey,59.8
98,07005,Morris,New Jersey,59.8
99,07083,Essex,New Jersey,59.7
100,08879,Middlesex,New Jersey,59.7
101,08060,Burlington,New Jersey,59.6
102,07204,Union,New Jersey,59.5
103,07035,Morris,New Jersey,59.4
104,08108,Camden,New Jersey,59.4
105,07076,Middlesex,New Jersey,59.4
106,08904,Middlesex,New Jersey,59.4
107,07452,Bergen,New Jersey,59.4
108,08835,Somerset,New Jersey,59.2
109,07078,Essex,New Jersey,59.2
110,08876,Somerset,New Jersey,59.2
111,07430,Bergen,New Jersey,59.1
112,07928,Union,New Jersey,59.1
113,07644,Bergen,New Jersey,59.1
114,07901,Union,New Jersey,58.9
115,07748,Monmouth,New Jersey,58.9
116,07628,Bergen,New Jersey,58.9
117,07753,Monmouth,New Jersey,58.8
118,08527,Monmouth,New Jersey,58.7
119,07407,Bergen,New Jersey,58.7
120,07410,Bergen,New Jersey,58.7
121,07747,Middlesex,New Jersey,58.6
122,07081,Union,New Jersey,58.6
123,07030,Hudson,New Jersey,58.6
124,07666,Bergen,New Jersey,58.6
125,07712,Monmouth,New Jersey,58.5
126,07003,Essex,New Jersey,58.4
127,07828,Morris,New Jersey,58.3
128,07031,Bergen,New Jersey,58.2
129,07016,Union,New Jersey,58.1
130,07607,Bergen,New Jersey,58.1
131,07840,Morris,New Jersey,58.1
132,07066,Middlesex,New Jersey,58
133,07836,Morris,New Jersey,57.9
134,07001,Middlesex,New Jersey,57.9
135,07024,Bergen,New Jersey,57.9
136,08080,Camden,New Jersey,57.9
137,08107,Camden,New Jersey,57.9
138,08062,Gloucester,New Jersey,57.7
139,08863,Middlesex,New Jersey,57.7
140,07730,Monmouth,New Jersey,57.7
141,08322,Gloucester,New Jersey,57.7
142,07040,Essex,New Jersey,57.6
143,08520,Middlesex,New Jersey,57.3
144,07508,Passaic,New Jersey,57.3
145,07456,Passaic,New Jersey,57.3
146,08852,Middlesex,New Jersey,57.3
147,07060,Middlesex,New Jersey,57.3
148,08724,Monmouth,New Jersey,57.2
149,07503,Passaic,New Jersey,57.2
150,08512,Middlesex,New Jersey,57.2
151,07652,Bergen,New Jersey,57.1
152,07006,Essex,New Jersey,56.9
153,07109,Essex,New Jersey,56.8
154,07208,Union,New Jersey,56.8
155,07504,Passaic,New Jersey,56.7
156,07029,Hudson,New Jersey,56.7
157,07660,Bergen,New Jersey,56.7
158,08859,Middlesex,New Jersey,56.6
159,08050,Ocean,New Jersey,56.6
160,08057,Burlington,New Jersey,56.6
161,08837,Middlesex,New Jersey,56.6
162,08037,Camden,New Jersey,56.6
163,08502,Somerset,New Jersey,56.5
164,07011,Passaic,New Jersey,56.5
165,08077,Burlington,New Jersey,56.5
166,08648,Mercer,New Jersey,56.5
167,08205,Atlantic,New Jersey,56.5
168,07102,Essex,New Jersey,56.4
169,08055,Burlington,New Jersey,56.4
170,07039,Essex,New Jersey,56.3
171,07853,Morris,New Jersey,56.2
172,08505,Burlington,New Jersey,56.1
173,07065,Middlesex,New Jersey,56.1
174,07203,Union,New Jersey,56.1
175,08204,Cape May,New Jersey,56
176,08755,Ocean,New Jersey,55.9
177,08861,Middlesex,New Jersey,55.8
178,07062,Union,New Jersey,55.7
179,08034,Camden,New Jersey,55.7
180,08028,Gloucester,New Jersey,55.6
181,07871,Sussex,New Jersey,55.5
182,07740,Monmouth,New Jersey,55.4
183,07034,Morris,New Jersey,55.4
184,08260,Cape May,New Jersey,55.3
185,07646,Bergen,New Jersey,55.3
186,08226,Cape May,New Jersey,55.3
187,08550,Mercer,New Jersey,55.2
188,08070,Salem,New Jersey,55.2
189,07013,Passaic,New Jersey,55.2
190,07110,Essex,New Jersey,55.2
191,07424,Essex,New Jersey,55.2
192,08048,Burlington,New Jersey,55.1
193,07047,Bergen,New Jersey,55
194,07205,Union,New Jersey,55
195,07201,Essex,New Jersey,54.8
196,08201,Atlantic,New Jersey,54.7
197,08244,Atlantic,New Jersey,54.6
198,07044,Essex,New Jersey,54.5
199,08081,Camden,New Jersey,54.4
200,08085,Gloucester,New Jersey,54.4
201,08003,Camden,New Jersey,54.3
202,07461,Sussex,New Jersey,54.2
203,07417,Bergen,New Jersey,54.1
204,08010,Burlington,New Jersey,54
205,08638,Mercer,New Jersey,53.9
206,07059,Somerset,New Jersey,53.9
207,08721,Ocean,New Jersey,53.8
208,08046,Burlington,New Jersey,53.8
209,07086,Hudson,New Jersey,53.7
210,08054,Burlington,New Jersey,53.7
211,08318,Cumberland,New Jersey,53.6
212,08051,Gloucester,New Jersey,53.6
213,07114,Essex,New Jersey,53.6
214,07936,Morris,New Jersey,53.5
215,08332,Cumberland,New Jersey,53.5
216,08109,Camden,New Jersey,53.5
217,08094,Gloucester,New Jersey,53.4
218,08872,Middlesex,New Jersey,53.4
219,08610,Burlington,New Jersey,53.4
220,07932,Morris,New Jersey,53.3
221,07052,Essex,New Jersey,53.3
222,08033,Camden,New Jersey,53.1
223,08234,Atlantic,New Jersey,53
224,07922,Union,New Jersey,53
225,07522,Passaic,New Jersey,53
226,07094,Hudson,New Jersey,52.9
227,08807,Somerset,New Jersey,52.9
228,08854,Middlesex,New Jersey,52.8
229,08690,Mercer,New Jersey,52.8
230,08210,Cape May,New Jersey,52.8
231,07063,Middlesex,New Jersey,52.8
232,07008,Middlesex,New Jersey,52.7
233,08701,Ocean,New Jersey,52.6
234,07950,Morris,New Jersey,52.6
235,08873,Somerset,New Jersey,52.5
236,08075,Burlington,New Jersey,52.5
237,07202,Union,New Jersey,52.4
238,07055,Passaic,New Jersey,52.3
239,07093,Hudson,New Jersey,52
240,08330,Atlantic,New Jersey,51.9
241,08609,Mercer,New Jersey,51.9
242,07105,Essex,New Jersey,51.8
243,08005,Ocean,New Jersey,51.7
244,08016,Burlington,New Jersey,51.6
245,08302,Cumberland,New Jersey,51.4
246,07882,Hunterdon,New Jersey,51.3
247,08087,Ocean,New Jersey,51.2
248,07438,Passaic,New Jersey,51.2
249,08534,Mercer,New Jersey,51.2
250,07087,Hudson,New Jersey,51.1
251,07513,Passaic,New Jersey,50.9
252,08722,Ocean,New Jersey,50.9
253,07107,Essex,New Jersey,50.8
254,08360,Gloucester,New Jersey,50.8
255,07860,Sussex,New Jersey,50.7
256,08361,Atlantic,New Jersey,50.6
257,08901,Middlesex,New Jersey,50.6
258,08232,Atlantic,New Jersey,50.6
259,07307,Hudson,New Jersey,50.5
260,07843,Sussex,New Jersey,50.5
261,08251,Cape May,New Jersey,50.4
262,08831,Middlesex,New Jersey,50.3
263,08088,Burlington,New Jersey,50.2
264,07920,Morris,New Jersey,49.8
265,07050,Essex,New Jersey,49.8
266,08021,Camden,New Jersey,49.6
267,07974,Union,New Jersey,49.4
268,07002,Hudson,New Jersey,49.1
269,07009,Essex,New Jersey,49.1
270,08110,Camden,New Jersey,49
271,08401,Atlantic,New Jersey,48.9
272,07111,Essex,New Jersey,48.9
273,08215,Burlington,New Jersey,48.7
274,07501,Passaic,New Jersey,48.6
275,07104,Essex,New Jersey,48.6
276,08052,Camden,New Jersey,48.5
277,07419,Sussex,New Jersey,48.4
278,07502,Passaic,New Jersey,48.1
279,08103,Camden,New Jersey,48
280,07112,Essex,New Jersey,48
281,08031,Camden,New Jersey,47.9
282,08629,Mercer,New Jersey,47.8
283,08015,Burlington,New Jersey,47.4
284,08030,Camden,New Jersey,46.9
285,07306,Hudson,New Jersey,46.8
286,07304,Hudson,New Jersey,46.6
287,07514,Passaic,New Jersey,46.6
288,07106,Essex,New Jersey,46.5
289,07206,Union,New Jersey,46.4
290,08889,Somerset,New Jersey,46.2
291,08611,Mercer,New Jersey,46.1
292,08865,Warren,New Jersey,45.1
293,08105,Camden,New Jersey,44.4
294,07108,Essex,New Jersey,44.3
295,07524,Passaic,New Jersey,43.9
296,08079,Salem,New Jersey,43.9
297,07017,Essex,New Jersey,43
298,08757,Ocean,New Jersey,42.6
299,07103,Essex,New Jersey,42.5
300,08618,Mercer,New Jersey,42.3
301,08069,Salem,New Jersey,41.6
302,07018,Essex,New Jersey,41
303,07305,Hudson,New Jersey,39.1
304,08759,Ocean,New Jersey,38.8
305,08104,Camden,New Jersey,38.5
